semantic_theme,taiwan_code,membership_role,enabled,notes
Cybersecurity,3029,enterprise_it_security_channel,1,Zero One Technology; channel/SI with cybersecurity exposure
Cybersecurity,6214,enterprise_it_system_integrator,1,SYSTEX; broad enterprise IT/cloud/security integrator
Cybersecurity,6112,enterprise_it_security_channel,1,MetaAge; enterprise IT/cloud/security distribution
Cybersecurity,2480,enterprise_it_system_integrator,1,Stark Technology; enterprise IT infrastructure and security integration
Cybersecurity,6690,pure_cybersecurity_services,1,ACSI; managed cybersecurity and SOC services
Cybersecurity,7765,pure_cybersecurity_services,1,CHT Security; cybersecurity services
Cybersecurity,6752,enterprise_software_security,1,SYSTEX-related enterprise software/security exposure
Cybersecurity,6590,financial_it_security,1,Provision Information; financial IT/security solutions
Cybersecurity,6183,enterprise_digital_security,1,Trade-Van; digital services and security-related enterprise infrastructure
Cybersecurity,6140,enterprise_it_channel,1,Dimension Computer Technology; enterprise IT/security channel
