ticker,name,theme,region,benchmark,universe_layer
SPY,S&P 500,Market_US,US,SPY,CORE
QQQ,Nasdaq 100,Factor_Growth,US,SPY,CORE
RSP,S&P Equal Weight,Factor_Breadth,US,SPY,CORE
IWM,Russell 2000,Factor_SmallCap,US,SPY,CORE
MTUM,US Momentum ETF,Factor_Momentum,US,SPY,CORE
SMH,Semiconductor ETF,Semiconductor,US,SPY,CORE
SOXX,Semiconductor ETF,Semiconductor,US,SPY,CORE
NVDA,NVIDIA,AI_Semiconductor,US,SPY,CORE
AVGO,Broadcom,AI_Semiconductor,US,SPY,CORE
AMD,AMD,AI_Semiconductor,US,SPY,CORE
MU,Micron,Memory,US,SPY,CORE
QCOM,Qualcomm,Semiconductor,US,SPY,CORE
INTC,Intel,Semiconductor,US,SPY,CORE
TXN,Texas Instruments,Analog_Semiconductor,US,SPY,CORE
ASML,ASML,Semiconductor_Equipment,EU,SPY,CORE
AMAT,Applied Materials,Semiconductor_Equipment,US,SPY,CORE
LRCX,Lam Research,Semiconductor_Equipment,US,SPY,CORE
KLAC,KLA,Semiconductor_Equipment,US,SPY,CORE
TSM,TSMC ADR,Foundry,US,SPY,CORE
ANET,Arista Networks,AI_Networking,US,SPY,CORE
VRT,Vertiv,AI_Infrastructure,US,SPY,CORE
DELL,Dell,AI_Server,US,SPY,CORE
HPE,HPE,AI_Server,US,SPY,CORE
SMCI,Super Micro Computer,AI_Server,US,SPY,CORE
ORCL,Oracle,Cloud_AI,US,SPY,CORE
MSFT,Microsoft,Cloud_AI,US,SPY,CORE
AMZN,Amazon,Cloud_AI,US,SPY,CORE
GOOGL,Alphabet,Cloud_AI,US,SPY,CORE
META,Meta,Internet_AI,US,SPY,CORE
PLTR,Palantir,Software_AI,US,SPY,CORE
IGV,Software ETF,Software,US,SPY,CORE
HACK,Cybersecurity ETF,Cybersecurity,US,SPY,CORE
PANW,Palo Alto Networks,Cybersecurity,US,SPY,CORE
CRWD,CrowdStrike,Cybersecurity,US,SPY,CORE
FTNT,Fortinet,Cybersecurity,US,SPY,CORE
ZS,Zscaler,Cybersecurity,US,SPY,CORE
NET,Cloudflare,Cybersecurity,US,SPY,CORE
XBI,Biotech ETF,Biotech,US,SPY,CORE
IBB,Biotech ETF,Biotech,US,SPY,CORE
GNOM,Genomics ETF,Genomics,US,SPY,CORE
IDNA,Genomics ETF,Genomics,US,SPY,CORE
LLY,Eli Lilly,Pharma,US,SPY,CORE
NVO,Novo Nordisk,Pharma,EU,SPY,CORE
REGN,Regeneron,Biotech,US,SPY,CORE
VRTX,Vertex,Biotech,US,SPY,CORE
AMGN,Amgen,Biotech,US,SPY,CORE
MRNA,Moderna,Biotech,US,SPY,CORE
BNTX,BioNTech,Biotech,EU,SPY,CORE
XLI,Industrials ETF,Industrials,US,SPY,CORE
GEV,GE Vernova,Power_Grid,US,SPY,CORE
ETN,Eaton,Power_Grid,US,SPY,CORE
HUBB,Hubbell,Power_Grid,US,SPY,CORE
PWR,Quanta Services,Power_Grid,US,SPY,CORE
CAT,Caterpillar,Industrials,US,SPY,CORE
URI,United Rentals,Industrials,US,SPY,CORE
XLF,Financials ETF,Financials,US,SPY,CORE
JPM,JPMorgan,Financials,US,SPY,CORE
GS,Goldman Sachs,Financials,US,SPY,CORE
BAC,Bank of America,Financials,US,SPY,CORE
XLU,Utilities ETF,Utilities,US,SPY,CORE
CEG,Constellation Energy,Nuclear_Power,US,SPY,CORE
VST,Vistra,Power,US,SPY,CORE
NRG,NRG Energy,Power,US,SPY,CORE
URA,Uranium ETF,Uranium,US,SPY,CORE
CCJ,Cameco,Uranium,CA,SPY,CORE
UEC,Uranium Energy,Uranium,US,SPY,CORE
GDX,Gold Miners ETF,Gold_Miners,US,SPY,CORE
NEM,Newmont,Gold_Miners,US,SPY,CORE
AEM,Agnico Eagle,Gold_Miners,CA,SPY,CORE
COPX,Copper Miners ETF,Copper,US,SPY,CORE
FCX,Freeport-McMoRan,Copper,US,SPY,CORE
SCCO,Southern Copper,Copper,US,SPY,CORE
XLE,Energy ETF,Energy,US,SPY,CORE
XOM,Exxon Mobil,Energy,US,SPY,CORE
CVX,Chevron,Energy,US,SPY,CORE
BOAT,Global Shipping ETF,Shipping,US,SPY,CORE
ZIM,ZIM,Shipping,US,SPY,CORE
SBLK,Star Bulk,Shipping,US,SPY,CORE
DAC,Danaos,Shipping,US,SPY,CORE
ITA,Aerospace Defense ETF,Defense,US,SPY,CORE
LMT,Lockheed Martin,Defense,US,SPY,CORE
RTX,RTX,Defense,US,SPY,CORE
NOC,Northrop Grumman,Defense,US,SPY,CORE
TSLA,Tesla,EV,US,SPY,CORE
GM,General Motors,Auto,US,SPY,CORE
F,Ford,Auto,US,SPY,CORE
AAPL,Apple,Consumer_Tech,US,SPY,CORE
COST,Costco,Consumer,US,SPY,CORE
WMT,Walmart,Consumer,US,SPY,CORE
6981.T,Murata,MLCC,JP,^N225,CORE
6976.T,Taiyo Yuden,MLCC,JP,^N225,CORE
6762.T,TDK,Electronic_Components,JP,^N225,CORE
8035.T,Tokyo Electron,Semiconductor_Equipment,JP,^N225,CORE
6857.T,Advantest,Semiconductor_Equipment,JP,^N225,CORE
6146.T,Disco,Semiconductor_Equipment,JP,^N225,CORE
005930.KS,Samsung Electronics,Memory,KR,^KS11,CORE
000660.KS,SK Hynix,Memory,KR,^KS11,CORE
009150.KS,Samsung Electro-Mechanics,MLCC,KR,^KS11,CORE
ACWI,MSCI ACWI ETF,Market_Global,US,SPY,CORE
VT,Vanguard Total World ETF,Market_Global,US,SPY,CORE
EEM,Emerging Markets ETF,Market_EM,US,SPY,CORE
EWJ,Japan ETF,Market_JP,US,SPY,CORE
EWY,South Korea ETF,Market_KR,US,SPY,CORE
EWH,Hong Kong ETF,Market_HK,US,SPY,CORE
MCHI,China ETF,Market_CN,US,SPY,CORE
FXI,China Large-Cap ETF,Market_CN,US,SPY,CORE
KWEB,China Internet ETF,Internet_AI,US,SPY,CORE
VGK,Europe ETF,Market_EU,US,SPY,CORE
FEZ,Eurozone ETF,Market_EU,US,SPY,CORE
EWG,Germany ETF,Market_EU,US,SPY,CORE
EWQ,France ETF,Market_EU,US,SPY,CORE
EWU,United Kingdom ETF,Market_EU,US,SPY,CORE
CIBR,Cybersecurity ETF,Cybersecurity,US,SPY,CORE
