alignment_rank,run_id,ticker,name,driver_id,international_theme,reaction_state,alignment_action,alignment_eligible,alignment_score,alignment_confidence,global_trend_score,taiwan_trend_score,international_breadth_score,keynes_quality_rank,causal_confidence_score,rs20_vs_tw,rs60_vs_tw,acceleration,keynes_v2,blockers,score_is_probability
1,20260909T085627+0800-a2dba6ce,2617.TW,台航,DRY_BULK_FREIGHT,Shipping,PERSISTENT,HOLD_DONT_CHASE,False,0.8658,HIGH,0.9656,0.7382,1.0,0.9273,0.525,0.0695045475105107,0.0731871671489652,0.0098897423166015,0.4680092879595953,GLOBAL_DRIVER_NOT_ACTIVE,False
2,20260909T085627+0800-a2dba6ce,2605.TW,新興,DRY_BULK_FREIGHT,Shipping,PERSISTENT,HOLD_DONT_CHASE,False,0.8617,HIGH,0.9656,0.7655,1.0,0.8545,0.525,0.0448248877011621,0.1402995141034939,0.0217337580317424,0.2697566355734318,GLOBAL_DRIVER_NOT_ACTIVE,False
3,20260909T085627+0800-a2dba6ce,2606.TW,裕民,DRY_BULK_FREIGHT,Shipping,PERSISTENT,HOLD_DONT_CHASE,False,0.859,HIGH,0.9656,0.7418,1.0,0.8727,0.53,0.1232842019858011,0.114684252881134,-0.0055883174822316,0.3676993336460749,GLOBAL_DRIVER_NOT_ACTIVE,False
4,20260909T085627+0800-a2dba6ce,2615.TW,萬海,CONTAINER_FREIGHT,Shipping,PERSISTENT,HOLD_DONT_CHASE,False,0.8493,HIGH,0.9656,0.6564,1.0,0.9455,0.5375,0.2552090005679999,0.3209162526463698,-0.0933036419680193,0.5478944016842764,GLOBAL_DRIVER_NOT_ACTIVE,False
5,20260909T085627+0800-a2dba6ce,2637.TW,慧洋-KY,DRY_BULK_FREIGHT,Shipping,PERSISTENT,HOLD_DONT_CHASE,False,0.8413,HIGH,0.9656,0.7255,1.0,0.7818,0.53,0.0726307464162243,0.1701233787093792,-0.0047771928290182,0.2089236824675362,GLOBAL_DRIVER_NOT_ACTIVE,False
6,20260909T085627+0800-a2dba6ce,2609.TW,陽明,CONTAINER_FREIGHT,Shipping,PULLBACK,ENTRY_READY_PULLBACK,False,0.7993,HIGH,0.9656,0.5982,1.0,0.7091,0.5375,0.0726065679696998,0.0874636329654103,-0.0306890857886211,0.1120911964671468,GLOBAL_DRIVER_NOT_ACTIVE,False
7,20260909T085627+0800-a2dba6ce,2881.TW,富邦金,FINANCIALS_RATE_CREDIT_CYCLE,Financials,PERSISTENT,HOLD_DONT_CHASE,False,0.7535,LOW,0.7693,0.7018,0.9,0.9818,0.2,0.1100616965101901,0.1348576101449132,-0.0134294181034482,0.632914694546921,GLOBAL_DRIVER_NOT_ACTIVE;COMPANY_EDGE_NOT_SOURCE_BACKED,False
8,20260909T085627+0800-a2dba6ce,2603.TW,長榮,CONTAINER_FREIGHT,Shipping,PULLBACK,ENTRY_READY_PULLBACK,False,0.7493,HIGH,0.9656,0.4745,1.0,0.5818,0.5375,0.0354226187255433,0.0148377868859213,-0.0504298049495027,0.0569728067734518,GLOBAL_DRIVER_NOT_ACTIVE,False
9,20260909T085627+0800-a2dba6ce,2882.TW,國泰金,FINANCIALS_RATE_CREDIT_CYCLE,Financials,PERSISTENT,HOLD_DONT_CHASE,False,0.7394,LOW,0.7693,0.6564,0.9,0.9636,0.2,0.0803009383332049,0.0831943324180857,-0.012367040074937,0.5727747236505224,GLOBAL_DRIVER_NOT_ACTIVE;COMPANY_EDGE_NOT_SOURCE_BACKED,False
10,20260909T085627+0800-a2dba6ce,3693.TWO,營邦,AI_SERVER_RACK_BUILD,AI_Server,PERSISTENT,HOLD_DONT_CHASE,False,0.7274,LOW,0.8765,0.74,0.55,1.0,0.195,0.3305499801391458,0.3110472120161858,-0.022786249990324,1.6121633051965265,GLOBAL_DRIVER_NOT_ACTIVE;COMPANY_EDGE_NOT_SOURCE_BACKED,False
