alignment_rank,run_id,ticker,name,driver_id,international_theme,reaction_state,alignment_action,alignment_eligible,alignment_score,alignment_confidence,global_trend_score,taiwan_trend_score,international_breadth_score,keynes_quality_rank,causal_confidence_score,breadth_n,breadth_eligible,rs20_vs_tw,rs60_vs_tw,acceleration,keynes_v2,blockers,score_is_probability
1,20260916T062512+0800-3a36a2e4,3029.TW,零壹,ENTERPRISE_CYBER_SPEND,Cybersecurity,PERSISTENT,HOLD_DONT_CHASE,False,0.7796,LOW,0.9363,0.68,0.9136,0.8667,0.16,11,True,0.063812454974212,0.1607538119443455,0.0371988737094587,0.4377742889959626,GLOBAL_DRIVER_NOT_ACTIVE;COMPANY_EDGE_NOT_SOURCE_BACKED,False
2,20260916T062512+0800-3a36a2e4,2615.TW,萬海,CONTAINER_FREIGHT,Shipping,PULLBACK,ENTRY_READY_PULLBACK,False,0.7793,HIGH,0.8861,0.81,0.8364,0.6,0.5375,11,True,0.1344236843265878,0.4712804235565447,-0.0166666666666666,0.0431077953888974,GLOBAL_DRIVER_NOT_ACTIVE,False
3,20260916T062512+0800-3a36a2e4,2637.TW,慧洋-KY,DRY_BULK_FREIGHT,Shipping,PULLBACK,ENTRY_READY_PULLBACK,False,0.7786,HIGH,0.8861,0.73,0.8364,0.7333,0.53,11,True,0.1608050545648276,0.317880095711088,-0.0353440108568229,0.115808415129867,GLOBAL_DRIVER_NOT_ACTIVE,False
4,20260916T062512+0800-3a36a2e4,6140.TWO,訊達,ENTERPRISE_CYBER_SPEND,Cybersecurity,CONFIRMING,ENTRY_READY,False,0.7731,LOW,0.9363,0.6,0.9136,0.9667,0.145,11,True,0.1059461203955485,-0.1200460349424858,0.1650456174108708,0.7016326705671716,GLOBAL_DRIVER_NOT_ACTIVE;COMPANY_EDGE_NOT_SOURCE_BACKED,False
5,20260916T062512+0800-3a36a2e4,2617.TW,台航,DRY_BULK_FREIGHT,Shipping,PERSISTENT,HOLD_DONT_CHASE,False,0.7714,HIGH,0.8861,0.6833,0.8364,0.7667,0.525,11,True,0.1356243048438972,0.1784470360065414,-0.0198111037686959,0.2492341246797613,GLOBAL_DRIVER_NOT_ACTIVE,False
6,20260916T062512+0800-3a36a2e4,2609.TW,陽明,CONTAINER_FREIGHT,Shipping,CONFIRMING,ENTRY_READY,False,0.7527,HIGH,0.8861,0.7233,0.8364,0.5667,0.5375,11,True,0.0839805492519749,0.2169802605526699,0.0146121814655561,0.0281002231847373,GLOBAL_DRIVER_NOT_ACTIVE,False
7,20260916T062512+0800-3a36a2e4,2606.TW,裕民,DRY_BULK_FREIGHT,Shipping,PULLBACK,ENTRY_READY_PULLBACK,False,0.7294,HIGH,0.8861,0.5733,0.8364,0.6667,0.53,11,True,0.1155515984271753,0.2519949013346426,-0.061421012167495,0.0824939296605905,GLOBAL_DRIVER_NOT_ACTIVE,False
8,20260916T062512+0800-3a36a2e4,2603.TW,長榮,CONTAINER_FREIGHT,Shipping,CONFIRMING,ENTRY_READY,False,0.686,HIGH,0.8861,0.6967,0.8364,0.1667,0.5375,11,True,0.0236436136869944,0.2409498353242173,0.0243775457781365,-0.0115283934916306,GLOBAL_DRIVER_NOT_ACTIVE;TAIWAN_TREND_NOT_SUPPORTIVE,False
9,20260916T062512+0800-3a36a2e4,2605.TW,新興,DRY_BULK_FREIGHT,Shipping,PULLBACK,ENTRY_READY_PULLBACK,False,0.6648,HIGH,0.8861,0.5567,0.8364,0.2667,0.525,11,True,0.0986697042822766,0.2194501150572624,-0.0386606965765028,-0.0004756434165205,GLOBAL_DRIVER_NOT_ACTIVE;TAIWAN_TREND_NOT_SUPPORTIVE,False
10,20260916T062512+0800-3a36a2e4,3693.TWO,營邦,AI_SERVER_RACK_BUILD,AI_Server,PERSISTENT,HOLD_DONT_CHASE,False,0.6501,LOW,0.7241,0.72,0.4167,1.0,0.195,3,True,0.3294927395749685,0.4090581513317205,-0.0774874904014189,1.016805223766765,GLOBAL_DRIVER_NOT_ACTIVE;COMPANY_EDGE_NOT_SOURCE_BACKED,False
11,20260916T062512+0800-3a36a2e4,3324.TWO,雙鴻,AI_SERVER_THERMAL_DENSITY,AI_Server,PERSISTENT,HOLD_DONT_CHASE,False,0.5952,LOW,0.7241,0.6167,0.4167,0.8,0.205,3,True,0.2983929770215097,0.2325967289371174,-0.1317873821078655,0.2826397463425134,GLOBAL_DRIVER_NOT_ACTIVE;COMPANY_EDGE_NOT_SOURCE_BACKED,False
