ticker,theme,name,state,raw_state,confirmation_streak,weakening_streak,leader_score_v1,rs20,rs60,keynes_legacy,keynes_v2,updated_at_utc
VRT,AI_Infrastructure,Vertiv,CANDIDATE,EARLY_EMERGING,1,0,0.5489795918367346,0.03381604706467445,-0.063302930702124,0.06506670255393895,0.013457970245625065,2026-09-05T06:44:32.433341+00:00
ANET,AI_Networking,Arista Networks,NEUTRAL,NEUTRAL,0,0,0.5887755102040817,0.031054544122712358,0.2151832428905167,0.06383365391965287,0.010191500736055063,2026-09-05T06:44:32.433341+00:00
NVDA,AI_Semiconductor,NVIDIA,EMERGING,PERSISTENT,1,0,0.7142857142857144,0.03254671690692246,0.08768495249550567,0.1548924893148553,0.016334122647548997,2026-09-05T06:44:32.433341+00:00
AMD,AI_Semiconductor,AMD,WEAKENING,WEAKENING,0,0,0.49132653061224485,-0.008008390865874127,-0.0060647146380212735,-0.2594520527587916,-0.0025208613895077647,2026-09-05T06:44:32.433341+00:00
AVGO,AI_Semiconductor,Broadcom,WEAKENING,WEAKENING,0,0,0.27040816326530615,-0.15934569793944275,-0.09986316649064297,-1.4120050776643347,-0.9436822057074653,2026-09-05T06:44:32.433341+00:00
DELL,AI_Server,Dell,EMERGING,PERSISTENT,1,0,0.9311224489795918,0.15904883777054635,0.355544502787569,0.9112099174647448,0.13794130991666967,2026-09-05T06:44:32.433341+00:00
SMCI,AI_Server,Super Micro Computer,PULLBACK_LEADER,PULLBACK_LEADER,1,0,0.778061224489796,0.2757338247968337,0.290878067081789,1.9125074694779125,0.3762101428671822,2026-09-05T06:44:32.433341+00:00
HPE,AI_Server,HPE,WEAKENING,WEAKENING,0,0,0.5198979591836734,-0.01895352180820964,0.0814069834450235,-0.4590220048753781,-0.006533979838914761,2026-09-05T06:44:32.433341+00:00
TXN,Analog_Semiconductor,Texas Instruments,WEAKENING,WEAKENING,0,0,0.23979591836734696,-0.09264606666727915,-0.14527996942522592,-0.8703444340282189,-0.42845836713688834,2026-09-05T06:44:32.433341+00:00
F,Auto,Ford,EMERGING,EMERGING,1,0,0.5846938775510204,0.04974992481462581,-0.03932374910610048,0.2541215435957096,0.07518941451584503,2026-09-05T06:44:32.433341+00:00
GM,Auto,General Motors,EMERGING,EMERGING,1,0,0.567857142857143,0.006025480693222285,0.04358832836342663,-0.06897402270777264,0.00028628523122337487,2026-09-05T06:44:32.433341+00:00
REGN,Biotech,Regeneron,EMERGING,PERSISTENT,1,0,0.764795918367347,0.059250934285985934,0.3140485664118122,0.28412270232289016,0.12269467229947886,2026-09-05T06:44:32.433341+00:00
AMGN,Biotech,Amgen,PULLBACK_LEADER,PULLBACK_LEADER,1,0,0.7112244897959183,0.06791959419280547,0.23291268137377008,0.36413422313080335,0.28033331100727577,2026-09-05T06:44:32.433341+00:00
VRTX,Biotech,Vertex,PULLBACK_LEADER,PULLBACK_LEADER,1,0,0.7030612244897959,0.10486320652606018,0.19170115601377247,0.682886899907813,0.3190236904594187,2026-09-05T06:44:32.433341+00:00
IBB,Biotech,Biotech ETF,NEUTRAL,NEUTRAL,0,0,0.693877551020408,0.07584311305546354,0.2154637651028739,0.4504363259319083,0.22307228017113992,2026-09-05T06:44:32.433341+00:00
MRNA,Biotech,Moderna,NEUTRAL,NEUTRAL,0,0,0.688265306122449,1.4638317574491828,2.1031170397994474,11.046559139575354,0.28664578576469646,2026-09-05T06:44:32.433341+00:00
XBI,Biotech,Biotech ETF,NEUTRAL,NEUTRAL,0,0,0.6443877551020408,0.04489289660409801,0.2096218150688156,0.19583182852971154,0.06641003941766996,2026-09-05T06:44:32.433341+00:00
BNTX,Biotech,BioNTech,NEUTRAL,NEUTRAL,0,0,0.6362244897959185,0.11168884447950234,0.14270956482135988,0.759054758345592,0.07880868354649967,2026-09-05T06:44:32.433341+00:00
ORCL,Cloud_AI,Oracle,EMERGING,EMERGING,1,0,0.556122448979592,0.08395929093183274,-0.2727715917551585,0.33808245900951117,0.0802864787983921,2026-09-05T06:44:32.433341+00:00
MSFT,Cloud_AI,Microsoft,NEUTRAL,NEUTRAL,0,0,0.5336734693877551,0.0033902458274376324,0.19584855610541463,-0.16082448198605656,-2.1161445024582838e-05,2026-09-05T06:44:32.433341+00:00
AMZN,Cloud_AI,Amazon,WEAKENING,WEAKENING,0,0,0.35459183673469385,-0.05421253418093486,0.02447516177598863,-0.5497661714543165,-0.174153407745111,2026-09-05T06:44:32.433341+00:00
GOOGL,Cloud_AI,Alphabet,WEAKENING,WEAKENING,0,0,0.2872448979591837,-0.040737652393846524,-0.1119847921873165,-0.4457077396611318,-0.16448750848451701,2026-09-05T06:44:32.433341+00:00
COST,Consumer,Costco,WEAKENING,WEAKENING,0,0,0.32091836734693874,-0.029875893196172454,-0.1304750618942978,-0.3306997141127592,-0.1026883595090019,2026-09-05T06:44:32.433341+00:00
WMT,Consumer,Walmart,WEAKENING,WEAKENING,0,0,0.30867346938775503,-0.03813974760444361,-0.17323628107154465,-0.4435484126095356,-0.05663856520497009,2026-09-05T06:44:32.433341+00:00
AAPL,Consumer_Tech,Apple,NEUTRAL,NEUTRAL,0,0,0.5770408163265306,0.025161975957283866,0.0356647793684326,0.09409458380256609,0.03424197151603061,2026-09-05T06:44:32.433341+00:00
FCX,Copper,Freeport-McMoRan,NEUTRAL,NEUTRAL,0,0,0.5658163265306123,0.04864129202855394,0.10985150472653138,0.23167979306677772,0.031350138905714975,2026-09-05T06:44:32.433341+00:00
COPX,Copper,Copper Miners ETF,NEUTRAL,NEUTRAL,0,0,0.5551020408163265,0.03384644795017855,0.10886039624196897,0.1259177702968116,0.025371224713129446,2026-09-05T06:44:32.433341+00:00
SCCO,Copper,Southern Copper,NEUTRAL,NEUTRAL,0,0,0.526530612244898,0.014445040512320872,0.1373038556279047,-0.02600807096597936,0.0016884423416420437,2026-09-05T06:44:32.433341+00:00
ZS,Cybersecurity,Zscaler,NEUTRAL,NEUTRAL,0,0,0.5678571428571428,0.01061006661474262,0.29963913345426607,-0.12896498688181152,0.0003571796229748418,2026-09-05T06:44:32.433341+00:00
CRWD,Cybersecurity,CrowdStrike,WEAKENING,WEAKENING,0,0,0.5489795918367347,-0.00218589170587824,0.25425881513739945,-0.2887172196991822,-0.0001792929138246634,2026-09-05T06:44:32.433341+00:00
HACK,Cybersecurity,Cybersecurity ETF,WEAKENING,WEAKENING,0,0,0.4,-0.036490696601037875,0.1152380953827834,-0.48125951730970384,-0.029337204434677785,2026-09-05T06:44:32.433341+00:00
FTNT,Cybersecurity,Fortinet,WEAKENING,WEAKENING,0,0,0.3908163265306123,-0.017014540430544733,0.06365858528828516,-0.3859388086371337,-0.005217930255135207,2026-09-05T06:44:32.433341+00:00
PANW,Cybersecurity,Palo Alto Networks,WEAKENING,WEAKENING,0,0,0.3704081632653062,-0.08012800235352224,0.20438788433285215,-0.9541634174245928,-0.05481694093902012,2026-09-05T06:44:32.433341+00:00
NET,Cybersecurity,Cloudflare,WEAKENING,WEAKENING,0,0,0.3494897959183674,-0.0671323820615084,0.20802148783344276,-0.7679514277567081,-0.03824725515983651,2026-09-05T06:44:32.433341+00:00
ITA,Defense,Aerospace Defense ETF,WEAKENING,WEAKENING,0,0,0.28010204081632656,-0.09628900640609117,-0.058410535110293704,-0.866761087551748,-0.9688245265643652,2026-09-05T06:44:32.433341+00:00
RTX,Defense,RTX,WEAKENING,WEAKENING,0,0,0.27908163265306124,-0.09574733847280226,0.07008371943823688,-0.9257807570408365,-0.8358454711584603,2026-09-05T06:44:32.433341+00:00
NOC,Defense,Northrop Grumman,WEAKENING,WEAKENING,0,0,0.23469387755102042,-0.09505360632032989,-0.11179917226253933,-0.8462113621163332,-0.4805447960118001,2026-09-05T06:44:32.433341+00:00
LMT,Defense,Lockheed Martin,WEAKENING,WEAKENING,0,0,0.21785714285714283,-0.10262045171512102,-0.061206112032482274,-0.9370575516451757,-0.4568655550298085,2026-09-05T06:44:32.433341+00:00
TSLA,EV,Tesla,NEUTRAL,NEUTRAL,0,0,0.5704081632653062,0.08157688779459482,-0.13379446032841102,0.46222521078713186,0.07858796174228011,2026-09-05T06:44:32.433341+00:00
6762.T,Electronic_Components,TDK,WEAKENING,WEAKENING,0,0,0.2433673469387755,-0.037135791021044584,-0.2592576018407452,-0.47273321886666,-0.032045139340684335,2026-09-05T06:44:32.433341+00:00
XLE,Energy,Energy ETF,PULLBACK_LEADER,PULLBACK_LEADER,1,0,0.7219387755102039,0.11805712755530595,0.03804109751354812,0.8342279877651573,0.9841326241004273,2026-09-05T06:44:32.433341+00:00
CVX,Energy,Chevron,EMERGING,EMERGING,1,0,0.6908163265306123,0.12210919737652759,0.03735029794010014,0.8604896220355212,1.014567995726799,2026-09-05T06:44:32.433341+00:00
XOM,Energy,Exxon Mobil,EMERGING,EMERGING,1,0,0.6392857142857142,0.045985426617837666,-0.0029441702504993117,0.25410095359507917,0.0902184798882487,2026-09-05T06:44:32.433341+00:00
RSP,Factor_Breadth,S&P Equal Weight,WEAKENING,WEAKENING,0,0,0.4688775510204082,-0.0009822893743267613,-0.001322706090798098,-0.08396485234485636,-0.010881769217370755,2026-09-05T06:44:32.433341+00:00
QQQ,Factor_Growth,Nasdaq 100,NEUTRAL,NEUTRAL,0,0,0.5219387755102041,-0.0016588851051827502,-0.025272946029448518,-0.08446839913695735,-0.007090831362021354,2026-09-05T06:44:32.433341+00:00
MTUM,Factor_Momentum,US Momentum ETF,WEAKENING,WEAKENING,0,0,0.41479591836734697,-0.010448582146175833,-0.061898214836834664,-0.1834655254037728,-0.018675737793210506,2026-09-05T06:44:32.433341+00:00
IWM,Factor_SmallCap,Russell 2000,WEAKENING,WEAKENING,0,0,0.43724489795918364,-0.014434043828791876,-0.012206499367980905,-0.18631349385645357,-0.07760097366685385,2026-09-05T06:44:32.433341+00:00
XLF,Financials,Financials ETF,NEUTRAL,NEUTRAL,0,0,0.5862244897959183,0.012650769278317764,0.050686147443322005,-0.0013194284614331392,0.01761719126687052,2026-09-05T06:44:32.433341+00:00
JPM,Financials,JPMorgan,EMERGING,EMERGING,1,0,0.5739795918367347,0.007102977168077729,0.09842027030991263,-0.07499540931704059,0.0017619907929842078,2026-09-05T06:44:32.433341+00:00
BAC,Financials,Bank of America,NEUTRAL,NEUTRAL,0,0,0.5357142857142857,-0.0037865995192675195,0.08754689461863441,-0.1814743270223695,-0.006954486333859648,2026-09-05T06:44:32.433341+00:00
GS,Financials,Goldman Sachs,NEUTRAL,NEUTRAL,0,0,0.46122448979591835,0.0030083143055238404,-0.024429422487392882,-0.0846780532789362,-5.712927550503399e-05,2026-09-05T06:44:32.433341+00:00
TSM,Foundry,TSMC ADR,EMERGING,EMERGING,1,0,0.6020408163265306,0.025087237911299853,-0.012380239967564322,0.10436251659046786,0.025073340739102716,2026-09-05T06:44:32.433341+00:00
GNOM,Genomics,Genomics ETF,PULLBACK_LEADER,PULLBACK_LEADER,1,0,0.7760204081632653,0.10858743720446684,0.27933966018197376,0.6587872328152434,0.14997353555701637,2026-09-05T06:44:32.433341+00:00
IDNA,Genomics,Genomics ETF,PULLBACK_LEADER,PULLBACK_LEADER,1,0,0.7479591836734694,0.14744352728248722,0.3264313198693023,0.986583554608689,0.3134438137650255,2026-09-05T06:44:32.433341+00:00
NEM,Gold_Miners,Newmont,PULLBACK_LEADER,PULLBACK_LEADER,1,0,0.7392857142857143,0.13771063243420545,0.3190251886153246,0.9012541270083684,0.2376956149821294,2026-09-05T06:44:32.433341+00:00
GDX,Gold_Miners,Gold Miners ETF,PULLBACK_LEADER,PULLBACK_LEADER,1,0,0.7025510204081634,0.10820875849452127,0.2831029506494711,0.6756893105284084,0.13333601750624194,2026-09-05T06:44:32.433341+00:00
AEM,Gold_Miners,Agnico Eagle,NEUTRAL,NEUTRAL,0,0,0.6739795918367347,0.1488644498314886,0.2809665506281396,0.973623943615145,0.21353359977831265,2026-09-05T06:44:32.433341+00:00
XLI,Industrials,Industrials ETF,WEAKENING,WEAKENING,0,0,0.35816326530612247,-0.04954522443396314,-0.028635214695989175,-0.46883588522195496,-0.6432254990038384,2026-09-05T06:44:32.433341+00:00
CAT,Industrials,Caterpillar,WEAKENING,WEAKENING,0,0,0.33979591836734696,-0.029573286095299745,-0.11101452965583081,-0.3782347417611752,-0.04839403087859448,2026-09-05T06:44:32.433341+00:00
URI,Industrials,United Rentals,WEAKENING,WEAKENING,0,0,0.2372448979591837,-0.12758699555171815,-0.10571137616968651,-1.154054826638625,-0.6761731891778978,2026-09-05T06:44:32.433341+00:00
META,Internet_AI,Meta,EMERGING,EMERGING,1,0,0.6193877551020409,0.04563554867695152,0.018494174742949454,0.25539497860934546,0.058688496316566176,2026-09-05T06:44:32.433341+00:00
009150.KS,MLCC,Samsung Electro-Mechanics,NEUTRAL,NEUTRAL,0,0,0.4892857142857143,0.13783032408039952,-0.19994844069569906,0.6602478874010341,0.11856491671295417,2026-09-05T06:44:32.433341+00:00
6976.T,MLCC,Taiyo Yuden,WEAKENING,WEAKENING,0,0,0.29285714285714287,-0.053735706329183563,-0.4124464742773095,-1.0218740447713883,-0.021703645798050317,2026-09-05T06:44:32.433341+00:00
6981.T,MLCC,Murata,WEAKENING,WEAKENING,0,0,0.25510204081632654,-0.033113983351427345,-0.21638757766222239,-0.6180493031539418,-0.010667260889219356,2026-09-05T06:44:32.433341+00:00
SPY,Market_US,S&P 500,NEUTRAL,NEUTRAL,0,0,0.525,0.0,0.0,-0.06222528112046652,-0.008184912443857039,2026-09-05T06:44:32.433341+00:00
MU,Memory,Micron,EMERGING,PERSISTENT,1,0,0.7979591836734695,0.16238494778293178,0.07812690203926609,1.0163385199983117,0.28305632489459215,2026-09-05T06:44:32.433341+00:00
005930.KS,Memory,Samsung Electronics,NEUTRAL,NEUTRAL,0,0,0.4464285714285714,0.10633901410756308,-0.1772593462664397,0.6377568025979374,0.08068668296682903,2026-09-05T06:44:32.433341+00:00
000660.KS,Memory,SK Hynix,NEUTRAL,NEUTRAL,0,0,0.41734693877551027,0.09955138506208239,-0.18004312279930978,0.4541251732973949,0.06639398841833631,2026-09-05T06:44:32.433341+00:00
CEG,Nuclear_Power,Constellation Energy,EMERGING,PERSISTENT,1,0,0.7709183673469387,0.11168067045249597,0.17214094355105303,0.759367955157855,0.377689510985995,2026-09-05T06:44:32.433341+00:00
NVO,Pharma,Novo Nordisk,WEAKENING,WEAKENING,0,0,0.411734693877551,-0.009995082124045429,0.026829296716139206,-0.19213749389701784,-0.006974774713758564,2026-09-05T06:44:32.433341+00:00
LLY,Pharma,Eli Lilly,WEAKENING,WEAKENING,0,0,0.3760204081632653,-0.02668650424042185,-0.05027022240323009,-0.36081311044890807,-0.032192864889517676,2026-09-05T06:44:32.433341+00:00
VST,Power,Vistra,EMERGING,EMERGING,1,0,0.6285714285714286,0.06592346010171668,0.015965824163742814,0.40625250709351257,0.13745519961332162,2026-09-05T06:44:32.433341+00:00
NRG,Power,NRG Energy,CANDIDATE,EARLY_EMERGING,1,0,0.4908163265306123,0.011504281133044358,-0.07521154348040193,-0.07261753849193361,0.0008930875930217423,2026-09-05T06:44:32.433341+00:00
ETN,Power_Grid,Eaton,WEAKENING,WEAKENING,0,0,0.42397959183673467,-0.08034374565357794,0.03255640185726194,-0.7468614064773229,-0.22267343003606244,2026-09-05T06:44:32.433341+00:00
GEV,Power_Grid,GE Vernova,WEAKENING,WEAKENING,0,0,0.35918367346938773,-0.04487257950284418,0.02463338245917046,-0.4910895255870723,-0.0577589934372907,2026-09-05T06:44:32.433341+00:00
HUBB,Power_Grid,Hubbell,WEAKENING,WEAKENING,0,0,0.3255102040816327,-0.0996699157427483,-0.07639369820715036,-0.8929244391453243,-0.5034840338949244,2026-09-05T06:44:32.433341+00:00
PWR,Power_Grid,Quanta Services,WEAKENING,WEAKENING,0,0,0.2892857142857143,-0.06665463877042599,-0.10242833697272236,-0.6798255080312813,-0.1193902407923702,2026-09-05T06:44:32.433341+00:00
SMH,Semiconductor,Semiconductor ETF,WEAKENING,WEAKENING,0,0,0.4744897959183674,-0.022956167342469636,-0.06853248533387057,-0.3118202523140171,-0.027572193734180538,2026-09-05T06:44:32.433341+00:00
QCOM,Semiconductor,Qualcomm,NEUTRAL,NEUTRAL,0,0,0.4459183673469388,0.009212706520404623,-0.17916992627505735,-0.1940004758538224,0.0014653101516480225,2026-09-05T06:44:32.433341+00:00
SOXX,Semiconductor,Semiconductor ETF,WEAKENING,WEAKENING,0,0,0.4,-0.03912076031039857,-0.10168218865358547,-0.47211648679129775,-0.062012771780718755,2026-09-05T06:44:32.433341+00:00
INTC,Semiconductor,Intel,WEAKENING,WEAKENING,0,0,0.3403061224489796,-0.05358018873352122,-0.16670880283038625,-0.6838130065394621,-0.05525310635895589,2026-09-05T06:44:32.433341+00:00
6857.T,Semiconductor_Equipment,Advantest,NEUTRAL,NEUTRAL,0,0,0.5448979591836736,0.002737935635052091,0.26937846809246135,-0.12232008468750455,0.00030483807420999236,2026-09-05T06:44:32.433341+00:00
ASML,Semiconductor_Equipment,ASML,WEAKENING,WEAKENING,0,0,0.46632653061224494,-0.011026992406147906,-0.07283619503187622,-0.23640685621492022,-0.007662717612106382,2026-09-05T06:44:32.433341+00:00
LRCX,Semiconductor_Equipment,Lam Research,WEAKENING,WEAKENING,0,0,0.4413265306122449,-0.007913557615266908,-0.10567274335964971,-0.2760017484310575,-0.0019160998059132308,2026-09-05T06:44:32.433341+00:00
KLAC,Semiconductor_Equipment,KLA,WEAKENING,WEAKENING,0,0,0.3341836734693877,-0.05917649524624935,-0.19264097386892554,-0.7241694845464854,-0.06959617561356551,2026-09-05T06:44:32.433341+00:00
8035.T,Semiconductor_Equipment,Tokyo Electron,WEAKENING,WEAKENING,0,0,0.2724489795918367,-0.038448345348400914,-0.07279341140565077,-0.5367895791584405,-0.03640969576889692,2026-09-05T06:44:32.433341+00:00
AMAT,Semiconductor_Equipment,Applied Materials,WEAKENING,WEAKENING,0,0,0.19642857142857145,-0.15263107912023544,-0.1468103365435549,-1.477900840772482,-0.42899015168599636,2026-09-05T06:44:32.433341+00:00
6146.T,Semiconductor_Equipment,Disco,WEAKENING,WEAKENING,0,0,0.14693877551020407,-0.11788640209552093,-0.23484161417160077,-1.124559561595423,-0.2234429901136413,2026-09-05T06:44:32.433341+00:00
BOAT,Shipping,Global Shipping ETF,EMERGING,PERSISTENT,1,0,0.8418367346938775,0.14949846700251657,0.1794506384164669,1.0577525536752521,0.8865759765024875,2026-09-05T06:44:32.433341+00:00
SBLK,Shipping,Star Bulk,EMERGING,PERSISTENT,1,0,0.8193877551020408,0.12576947290034113,0.15847172284343047,0.875574297396759,0.5228815602071486,2026-09-05T06:44:32.433341+00:00
DAC,Shipping,Danaos,EMERGING,PERSISTENT,1,0,0.7551020408163266,0.1072959181545654,0.14560803692091184,0.7239675909294028,0.5154550335869414,2026-09-05T06:44:32.433341+00:00
