theme,n,above_ma20_pct,above_ma60_pct,positive_rs5_pct,positive_rs20_pct,near_20d_high_pct,near_52w_high_pct,breadth_confidence,breadth_eligible,median_rs20,median_keynes_v2,median_keynes_legacy
金融保險業,40,0.825,0.925,0.925,0.75,0.9,0.675,HIGH,True,0.07520505911101338,0.6195943927786313,0.7841173470192153
資訊服務業,45,0.7333333333333333,0.6222222222222222,0.9555555555555556,0.4888888888888889,0.5555555555555556,0.06666666666666667,HIGH,True,-0.008309398743059582,0.07350566305605968,0.04207543972457535
塑膠工業,25,0.52,0.64,0.52,0.48,0.56,0.08,HIGH,True,-0.008135282847812064,0.007311142116732183,0.013935601272102152
光電業,115,0.391304347826087,0.4434782608695652,0.6,0.43478260869565216,0.30434782608695654,0.034782608695652174,HIGH,True,-0.02824817505034527,0.0,-0.15573943336552615
通信網路業,91,0.46153846153846156,0.3956043956043956,0.7362637362637363,0.4175824175824176,0.3516483516483517,0.07692307692307693,HIGH,True,-0.018592058709120396,-0.0012341545414608723,-0.1724098026260068
數位雲端,39,0.5897435897435898,0.5128205128205128,0.8717948717948718,0.38461538461538464,0.5128205128205128,0.07692307692307693,HIGH,True,-0.03089239437980018,-0.0002229768076052157,-0.16166131335536116
半導體業,206,0.4029126213592233,0.3737864077669903,0.6116504854368932,0.3737864077669903,0.2087378640776699,0.014563106796116505,HIGH,True,-0.0210983284933709,0.0,-0.19025822424501948
其他電子業,95,0.37894736842105264,0.3894736842105263,0.6421052631578947,0.35789473684210527,0.2736842105263158,0.021052631578947368,HIGH,True,-0.02979802522495012,-0.003852101429759703,-0.21701510456630183
油電燃氣業,12,0.5833333333333334,0.5833333333333334,0.8333333333333334,0.3333333333333333,0.9166666666666666,0.0,HIGH,True,-0.017890281870201252,0.010063733725339776,0.04469277927750258
化學工業,42,0.35714285714285715,0.38095238095238093,0.6190476190476191,0.3333333333333333,0.40476190476190477,0.07142857142857142,HIGH,True,-0.025258570071646558,-0.002201081631268064,-0.16442824418924215
電子零組件業,210,0.29523809523809524,0.3238095238095238,0.5857142857142857,0.3,0.1761904761904762,0.004761904761904762,HIGH,True,-0.038334728697027975,-0.011014122136732588,-0.32586646923230167
生技醫療業,158,0.34810126582278483,0.3924050632911392,0.759493670886076,0.22151898734177214,0.5,0.12025316455696203,HIGH,True,-0.03850415064154172,-0.03478503304525933,-0.182159482871238
電腦及週邊設備業,109,0.3394495412844037,0.3853211009174312,0.6238532110091743,0.21100917431192662,0.3302752293577982,0.027522935779816515,HIGH,True,-0.04295766793795641,-0.006625985256845627,-0.19856253408972818
電子通路業,38,0.34210526315789475,0.34210526315789475,0.7631578947368421,0.21052631578947367,0.2894736842105263,0.02631578947368421,HIGH,True,-0.05457102423856014,-0.048636298372918656,-0.30742577013098715
其他業,93,0.3655913978494624,0.41935483870967744,0.7634408602150538,0.20430107526881722,0.5806451612903226,0.13978494623655913,HIGH,True,-0.031095205146584592,-0.02378791561846615,-0.16955755272624942
文化創意業,26,0.2692307692307692,0.19230769230769232,0.7692307692307693,0.19230769230769232,0.5384615384615384,0.0,HIGH,True,-0.03233998328250659,-0.025531820415512725,-0.2114890318735642
電機機械,100,0.3,0.36,0.62,0.19,0.33,0.03,HIGH,True,-0.04915705133640813,-0.11050216642533699,-0.31853464813988963
建材營造業,88,0.3068181818181818,0.5681818181818182,0.6931818181818182,0.18181818181818182,0.5454545454545454,0.06818181818181818,HIGH,True,-0.03000992497696653,-0.014905501924045156,-0.1347713181810107
電器電纜,17,0.5294117647058824,0.5294117647058824,0.7058823529411765,0.17647058823529413,0.47058823529411764,0.11764705882352941,HIGH,True,-0.014436059427856973,0.01912465115305593,-0.017333033567236367
航運業,34,0.4117647058823529,0.6176470588235294,0.6764705882352942,0.17647058823529413,0.38235294117647056,0.058823529411764705,HIGH,True,-0.034113644269995025,-0.0010139149333562405,-0.11697790564324027
貿易百貨業,18,0.3888888888888889,0.3888888888888889,0.9444444444444444,0.16666666666666666,0.6666666666666666,0.16666666666666666,HIGH,True,-0.03120779052387529,-0.03317886217345431,-0.14615737716455485
汽車工業,44,0.3409090909090909,0.29545454545454547,0.7045454545454546,0.1590909090909091,0.5,0.022727272727272728,HIGH,True,-0.04727818881924806,-0.049695757980445225,-0.3229656786819654
紡織纖維,52,0.2692307692307692,0.34615384615384615,0.6923076923076923,0.15384615384615385,0.5192307692307693,0.057692307692307696,HIGH,True,-0.03871852146430438,-0.010717163176139147,-0.1748100602511209
水泥工業,7,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.5714285714285714,0.14285714285714285,HIGH,True,-0.029090002255866887,-0.02263611457921215,-0.1172719636032649
綠能環保,46,0.2608695652173913,0.2608695652173913,0.5434782608695652,0.13043478260869565,0.34782608695652173,0.021739130434782608,HIGH,True,-0.05179001700848562,-0.08071221102239148,-0.4060960515398437
鋼鐵工業,48,0.1875,0.375,0.6458333333333334,0.125,0.4791666666666667,0.08333333333333333,HIGH,True,-0.04321041978897244,-0.0856562396185441,-0.22256416159992956
觀光餐旅,51,0.3137254901960784,0.3333333333333333,0.9019607843137255,0.11764705882352941,0.5882352941176471,0.058823529411764705,HIGH,True,-0.034404888487458596,-0.018423733781846568,-0.24123174517391843
居家生活,35,0.17142857142857143,0.37142857142857144,0.7428571428571429,0.11428571428571428,0.5714285714285714,0.11428571428571428,HIGH,True,-0.03705413350391007,-0.021212939558393613,-0.20074637887908442
運動休閒,27,0.25925925925925924,0.4074074074074074,0.5555555555555556,0.07407407407407407,0.37037037037037035,0.0,HIGH,True,-0.05239035301738304,-0.04989751789483819,-0.2610814743244562
食品工業,33,0.21212121212121213,0.21212121212121213,0.7272727272727273,0.06060606060606061,0.6666666666666666,0.06060606060606061,HIGH,True,-0.03443282982349172,-0.06231198142384174,-0.2479583908077977
玻璃陶瓷,5,0.2,0.2,0.8,0.0,0.4,0.2,MEDIUM,True,-0.02650859868187605,-0.007742057079845126,-0.07627376195549615
造紙工業,7,0.42857142857142855,0.2857142857142857,0.8571428571428571,0.0,0.2857142857142857,0.14285714285714285,HIGH,True,-0.039399999625978954,-0.1874638082802457,-0.2910978923782441
橡膠工業,11,0.36363636363636365,0.5454545454545454,0.45454545454545453,0.0,0.5454545454545454,0.2727272727272727,HIGH,True,-0.03993745515532632,-0.00797766756372514,-0.1994416710270625
農業科技業,4,0.25,0.25,0.75,0.0,0.25,0.0,MEDIUM,True,-0.059748660716377244,-0.26492973336238657,-0.38162172729674226
