code,ticker,name,industry,exchange,market,listed_date,cfi_code,benchmark,theme,region,source
1240,1240.TWO,茂生農經,農業科技業,TPEX,上櫃,2018/08/08,ESVUFR,^TWII,農業科技業,TW,TWSE_ISIN
1259,1259.TWO,安心,觀光餐旅,TPEX,上櫃,2011/12/15,ESVUFR,^TWII,觀光餐旅,TW,TWSE_ISIN
1264,1264.TWO,德麥,食品工業,TPEX,上櫃,2015/04/09,ESVUFR,^TWII,食品工業,TW,TWSE_ISIN
1268,1268.TWO,漢來美食,觀光餐旅,TPEX,上櫃,2017/09/27,ESVUFR,^TWII,觀光餐旅,TW,TWSE_ISIN
1294,1294.TWO,漢田生技,食品工業,TPEX,上櫃,2024/09/26,ESVUFR,^TWII,食品工業,TW,TWSE_ISIN
1295,1295.TWO,生合,食品工業,TPEX,上櫃,2025/05/27,ESVUFR,^TWII,食品工業,TW,TWSE_ISIN
1336,1336.TWO,台翰,電子零組件業,TPEX,上櫃,2007/11/02,ESVUFR,^TWII,電子零組件業,TW,TWSE_ISIN
1565,1565.TWO,精華,生技醫療業,TPEX,上櫃,2004/03/30,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
1569,1569.TWO,濱川,電腦及週邊設備業,TPEX,上櫃,2005/07/29,ESVUFR,^TWII,電腦及週邊設備業,TW,TWSE_ISIN
1570,1570.TWO,力肯,電機機械,TPEX,上櫃,2005/06/30,ESVUFR,^TWII,電機機械,TW,TWSE_ISIN
1580,1580.TWO,新麥,電機機械,TPEX,上櫃,2007/12/10,ESVUFR,^TWII,電機機械,TW,TWSE_ISIN
1584,1584.TWO,精剛,其他業,TPEX,上櫃,2007/11/28,ESVUFR,^TWII,其他業,TW,TWSE_ISIN
1586,1586.TWO,和勤,電機機械,TPEX,上櫃,2012/01/09,ESVUFR,^TWII,電機機械,TW,TWSE_ISIN
1591,1591.TWO,駿吉-KY,電機機械,TPEX,上櫃,2012/03/23,ESVUFR,^TWII,電機機械,TW,TWSE_ISIN
1593,1593.TWO,祺驊,運動休閒,TPEX,上櫃,2012/06/13,ESVUFR,^TWII,運動休閒,TW,TWSE_ISIN
1595,1595.TWO,川寶,半導體業,TPEX,上櫃,2011/10/04,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN
1599,1599.TWO,宏佳騰,電機機械,TPEX,上櫃,2012/12/25,ESVUFR,^TWII,電機機械,TW,TWSE_ISIN
1742,1742.TWO,台蠟,化學工業,TPEX,上櫃,2004/05/14,ESVUFR,^TWII,化學工業,TW,TWSE_ISIN
1777,1777.TWO,生泰,生技醫療業,TPEX,上櫃,2005/10/19,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
1780,1780.TWO,立弘,食品工業,TPEX,上櫃,2010/04/29,ESVUFR,^TWII,食品工業,TW,TWSE_ISIN
1781,1781.TWO,合世,生技醫療業,TPEX,上櫃,2004/12/24,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN
