theme,n,above_ma20_pct,above_ma60_pct,positive_rs5_pct,positive_rs20_pct,near_20d_high_pct,near_52w_high_pct,breadth_confidence,breadth_eligible,median_rs20,median_keynes_v2,median_keynes_legacy
Shipping,11,0.8181818181818182,1.0,0.9090909090909091,1.0,0.6363636363636364,0.5454545454545454,HIGH,True,0.1525422444495116,0.3772202904953705,0.7549519694336799
Gold_Miners,3,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,MEDIUM,True,0.13029984980592013,0.128780196348911,0.6981571178611344
Energy,3,1.0,1.0,1.0,1.0,1.0,1.0,MEDIUM,True,0.08429008321848996,0.5790434115400784,0.4494620051837082
Genomics,2,0.0,1.0,0.0,1.0,0.0,0.0,LOW,False,0.0842170180847216,0.06437615642726598,0.3648164766622518
Market_KR,1,1.0,1.0,1.0,1.0,1.0,0.0,LOW,False,0.07401525100575224,0.052133547114655926,0.31742816099481813
Consumer_Tech,2,0.5,0.5,0.5,1.0,0.5,0.5,LOW,False,0.07361349229898928,0.24354566639189865,0.36907203231894536
AI_Server,3,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,MEDIUM,True,0.05541777813008808,0.010589157863132075,0.04915242192747177
Copper,3,0.0,1.0,0.0,1.0,0.0,0.0,MEDIUM,True,0.052667067063081,0.023012135138350143,0.16693834364890875
Nuclear_Power,1,1.0,1.0,1.0,1.0,0.0,0.0,LOW,False,0.04096940450370823,0.01692835088782853,0.08102538944479065
Market_EM,1,1.0,1.0,1.0,1.0,1.0,0.0,LOW,False,0.03486705654510358,0.028620156510091456,0.09592658467585069
Market_JP,1,1.0,1.0,1.0,1.0,1.0,1.0,LOW,False,0.01838454217931107,0.00011675936628809306,-0.030078777477690805
Market_HK,1,0.0,1.0,0.0,1.0,1.0,0.0,LOW,False,0.018359504660180437,0.00011614270876739085,-0.05614610886030508
Auto,2,0.0,0.5,0.0,1.0,1.0,0.0,LOW,False,0.016918618949153363,-0.0009342327927582189,-0.1048017657926971
Market_Global,2,0.0,1.0,1.0,1.0,1.0,1.0,LOW,False,0.0030646667452524645,-0.0778986445513756,-0.14164432200213906
Financials,4,0.5,0.75,0.5,0.75,1.0,0.75,MEDIUM,True,0.0003757624400416715,-0.050993718123207826,-0.22964898956214344
Biotech,21,0.047619047619047616,0.6190476190476191,0.19047619047619047,0.6666666666666666,0.047619047619047616,0.0,HIGH,True,0.01469238418939256,-0.00015050233214668716,-0.1613716636986044
Memory,5,0.6,0.4,0.8,0.6,0.2,0.0,MEDIUM,True,0.04424379928190969,0.008916161673572431,0.00717196809336712
Market_CN,2,0.0,0.0,0.0,0.5,0.5,0.0,LOW,False,-0.0012505092154102004,-0.09046906505005614,-0.206756826629367
Power,2,0.5,0.0,1.0,0.5,0.5,0.0,LOW,False,-0.0020301235276173335,-0.015235841152607583,-0.264401333186037
Analog_Semiconductor,4,0.75,0.0,1.0,0.5,0.25,0.0,MEDIUM,True,-0.010766711508265858,-0.03415437974893142,-0.38704272881064405
AI_Networking,7,0.7142857142857143,0.5714285714285714,1.0,0.42857142857142855,0.14285714285714285,0.0,HIGH,True,-0.0023211680347975383,-0.0071690333591540225,-0.44342182437326744
Internet_AI,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,MEDIUM,True,-0.013972814806450184,-0.04140608101195672,-0.2698404150602227
Uranium,3,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,MEDIUM,True,-0.020540481274382127,-0.021293096276669737,-0.450361950032149
Semiconductor,6,0.6666666666666666,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.0,HIGH,True,-0.021493846831963537,-0.05506360062743096,-0.4129861798947778
Software,3,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,MEDIUM,True,-0.027316779347025144,-0.055897078220143566,-0.45720076126084946
EV,14,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.07142857142857142,0.0,HIGH,True,-0.02536254842600294,-0.061287472471589714,-0.4345414474383126
AI_Semiconductor,4,0.5,0.5,0.75,0.25,0.25,0.0,MEDIUM,True,-0.022414280448082358,-0.026512245969033434,-0.5269532727918456
Foundry,4,0.5,0.25,0.75,0.25,0.25,0.0,MEDIUM,True,-0.09356423670846303,-0.16102298967800807,-1.131396726534793
Market_EU,5,0.0,0.6,0.0,0.2,0.8,0.8,MEDIUM,True,-0.008076067060419634,-0.2324144668453827,-0.2381162541064803
Cybersecurity,11,0.2727272727272727,0.8181818181818182,0.6363636363636364,0.18181818181818182,0.09090909090909091,0.0,HIGH,True,-0.058850301396423776,-0.0441732122800706,-0.785311510963818
Cloud_AI,8,0.25,0.625,0.375,0.125,0.375,0.0,HIGH,True,-0.03244510076584356,-0.11676431016329808,-0.6174537807082936
Market_US,1,0.0,1.0,0.0,0.0,1.0,1.0,LOW,False,0.0,-0.13026026031088578,-0.16717532275833674
Factor_Growth,1,0.0,1.0,1.0,0.0,1.0,1.0,LOW,False,-0.006010768745798201,-0.12921911034011196,-0.22165490749486721
Factor_Momentum,1,1.0,0.0,1.0,0.0,0.0,0.0,LOW,False,-0.010976040238412366,-0.06784174924275753,-0.2889762744139484
Factor_Breadth,1,0.0,0.0,0.0,0.0,1.0,1.0,LOW,False,-0.01781877179471869,-0.39157757517112607,-0.3237806918209899
Utilities,1,0.0,0.0,0.0,0.0,0.0,0.0,LOW,False,-0.01999537849696187,-0.25989579711547295,-0.3343521701806083
AI_Infrastructure,3,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,MEDIUM,True,-0.028080573298294054,-0.10306094096442808,-0.42051546649498295
