global_theme,global_theme_strength_v1,linkage_type,taiwan_code,taiwan_ticker,taiwan_name,taiwan_industry,taiwan_candidate_score_v1,taiwan_rs20,taiwan_acceleration,taiwan_keynes_v2,combined_hypothesis_score_v1,status,research_required
AI_Server,0.8500000000000001,same_end_market_or_supply_chain,6538,6538.TWO,倉和,電子零組件業,0.891287516158518,1.016389578345266,0.23275862068965514,3.4536119129762533,0.8685793822713332,HYPOTHESIS_ONLY,True
Shipping,0.90125,freight_cycle,5607,5607.TW,遠雄港,航運業,0.8200203446086778,0.10779174959766102,0.0628206844214213,0.5690858703915661,0.864696655073905,HYPOTHESIS_ONLY,True
AI_Server,0.8500000000000001,same_end_market_or_supply_chain,7711,7711.TW,永擎,電腦及週邊設備業,0.8778406152728396,0.63275739443722,0.1264079397672826,1.4025802230267002,0.862528276872778,HYPOTHESIS_ONLY,True
Memory,0.85375,memory_cycle,3141,3141.TWO,晶宏,半導體業,0.8651389528184706,0.24489241553426644,0.27966202806570667,0.6614527225275336,0.8588750287683118,HYPOTHESIS_ONLY,True
AI_Server,0.8500000000000001,same_end_market_or_supply_chain,8431,8431.TWO,匯鑽科,其他電子業,0.8658163901106405,0.3792659787764465,0.21257704585514542,1.388231931809165,0.8571173755497883,HYPOTHESIS_ONLY,True
Nuclear_Power,0.84875,power_capex_hypothesis,8431,8431.TWO,匯鑽科,其他電子業,0.8658163901106405,0.3792659787764465,0.21257704585514542,1.388231931809165,0.8564298755497882,HYPOTHESIS_ONLY,True
Memory,0.85375,memory_cycle,3094,3094.TW,聯傑,半導體業,0.8596419741872103,0.28171393301105363,0.05613343568807583,1.1654742245545087,0.8564013883842447,HYPOTHESIS_ONLY,True
Memory,0.85375,memory_cycle,6640,6640.TWO,均華,半導體業,0.8591332514497866,0.30907983452436594,0.08883133966374818,0.4651506835273579,0.856172463152404,HYPOTHESIS_ONLY,True
Shipping,0.90125,freight_cycle,2617,2617.TW,台航,航運業,0.796378077836528,0.070261472566445,0.0349720904804699,0.6585125911244109,0.8540576350264377,HYPOTHESIS_ONLY,True
AI_Server,0.8500000000000001,same_end_market_or_supply_chain,3693,3693.TWO,營邦,電腦及週邊設備業,0.8562754016628787,0.22385455595402526,0.060364267258504634,0.8278333538972057,0.8528239307482955,HYPOTHESIS_ONLY,True
Memory,0.85375,memory_cycle,6271,6271.TW,同欣電,半導體業,0.8489330309222978,0.1722302626542742,0.046124031007751864,0.5656730577997217,0.8515823639150341,HYPOTHESIS_ONLY,True
Memory,0.85375,memory_cycle,6291,6291.TWO,沛亨,半導體業,0.8441447231208244,0.1729274168085846,0.08344937955072929,0.3788790458195483,0.8494276254043711,HYPOTHESIS_ONLY,True
Memory,0.85375,memory_cycle,6510,6510.TWO,精測,半導體業,0.8418052072493083,0.19046673271798675,0.18923933209647498,0.3853389224709348,0.8483748432621888,HYPOTHESIS_ONLY,True
Shipping,0.90125,freight_cycle,2606,2606.TW,裕民,航運業,0.781853157861795,0.1059425344111784,0.04347287826055518,0.31804129099563994,0.8475214210378078,HYPOTHESIS_ONLY,True
AI_Server,0.8500000000000001,same_end_market_or_supply_chain,3324,3324.TWO,雙鴻,其他電子業,0.8428890403242122,0.410478248296005,0.18686803214933878,1.2053052851589756,0.8468000681458956,HYPOTHESIS_ONLY,True
Shipping,0.90125,freight_cycle,2637,2637.TW,慧洋-KY,航運業,0.7789289644574978,0.08280519101632922,0.04975954602577176,0.2572528065978761,0.8462055340058741,HYPOTHESIS_ONLY,True
Nuclear_Power,0.84875,power_capex_hypothesis,3324,3324.TWO,雙鴻,其他電子業,0.8428890403242122,0.410478248296005,0.18686803214933878,1.2053052851589756,0.8461125681458955,HYPOTHESIS_ONLY,True
Memory,0.85375,memory_cycle,6532,6532.TWO,瑞耘,半導體業,0.8322621796947224,0.14109034394664177,0.05023817539725067,0.6687921851802134,0.8440804808626251,HYPOTHESIS_ONLY,True
AI_Server,0.8500000000000001,same_end_market_or_supply_chain,2464,2464.TW,盟立,其他電子業,0.8324113034319925,0.16667762352503868,0.05855763723080731,0.2093650614460136,0.8420850865443967,HYPOTHESIS_ONLY,True
Nuclear_Power,0.84875,power_capex_hypothesis,2464,2464.TW,盟立,其他電子業,0.8324113034319925,0.16667762352503868,0.05855763723080731,0.2093650614460136,0.8413975865443967,HYPOTHESIS_ONLY,True
Memory,0.85375,memory_cycle,6683,6683.TWO,雍智科技,半導體業,0.8219857218925749,0.16170977538960085,0.07976190476190476,0.16715221744506495,0.8394560748516587,HYPOTHESIS_ONLY,True
AI_Server,0.8500000000000001,same_end_market_or_supply_chain,6654,6654.TWO,天正國際,其他電子業,0.8221774503350203,0.17368104434411014,0.1870618165128904,0.36924771122160843,0.8374798526507592,HYPOTHESIS_ONLY,True
AI_Server,0.8500000000000001,same_end_market_or_supply_chain,2421,2421.TW,建準,電子零組件業,0.8219381650727027,0.12234155285306159,0.04495564235322613,0.34076731940452676,0.8373721742827163,HYPOTHESIS_ONLY,True
Nuclear_Power,0.84875,power_capex_hypothesis,6654,6654.TWO,天正國際,其他電子業,0.8221774503350203,0.17368104434411014,0.1870618165128904,0.36924771122160843,0.8367923526507592,HYPOTHESIS_ONLY,True
Memory,0.85375,memory_cycle,2434,2434.TW,統懋,半導體業,0.8129668359484871,0.2124616943108546,0.12700302487173026,0.2877069628288484,0.8353975761768193,HYPOTHESIS_ONLY,True
AI_Server,0.8500000000000001,same_end_market_or_supply_chain,6830,6830.TW,汎銓,其他電子業,0.8173899525684538,0.44742406110388666,0.012142857142857233,1.0858019276986848,0.8353254786558043,HYPOTHESIS_ONLY,True
Nuclear_Power,0.84875,power_capex_hypothesis,6830,6830.TW,汎銓,其他電子業,0.8173899525684538,0.44742406110388666,0.012142857142857233,1.0858019276986848,0.8346379786558042,HYPOTHESIS_ONLY,True
Genomics,0.87625,biotech_risk_appetite,6620,6620.TWO,漢達,生技醫療業,0.7833327309104472,0.21961341021631275,0.20414201183431957,0.4047775642947381,0.8344372289097013,HYPOTHESIS_ONLY,True
Memory,0.85375,memory_cycle,4971,4971.TWO,IET-KY,半導體業,0.807442810078462,0.30247292103874,0.0098293343120614,0.3667327995720561,0.8329117645353079,HYPOTHESIS_ONLY,True
Shipping,0.90125,freight_cycle,2612,2612.TW,中航,航運業,0.7487227800642593,0.09833313814135125,0.01376772135248655,0.5082867477803076,0.8326127510289167,HYPOTHESIS_ONLY,True
AI_Server,0.8500000000000001,same_end_market_or_supply_chain,6272,6272.TW,驊陞,電子零組件業,0.8087855921742555,0.17629000902390923,0.06731178611661875,0.5340573751940605,0.8314535164784151,HYPOTHESIS_ONLY,True
AI_Server,0.8500000000000001,same_end_market_or_supply_chain,3023,3023.TW,信邦,電子零組件業,0.803506853276565,0.05132016499999059,0.04658117907329262,0.36602226078493766,0.8290780839744544,HYPOTHESIS_ONLY,True
AI_Server,0.8500000000000001,same_end_market_or_supply_chain,2395,2395.TW,研華,電腦及週邊設備業,0.8021824881246425,0.06887516520483294,0.03241749303305935,0.2132974297827208,0.8284821196560892,HYPOTHESIS_ONLY,True
Memory,0.85375,memory_cycle,2454,2454.TW,聯發科,半導體業,0.791356345499199,0.07947534315516869,0.07489182189621346,0.21428405758076902,0.8256728554746395,HYPOTHESIS_ONLY,True
Shipping,0.90125,freight_cycle,2607,2607.TW,榮運,航運業,0.7228325745991488,0.06433425516923719,0.005588683795033134,1.0933003320897052,0.8209621585696171,HYPOTHESIS_ONLY,True
Nuclear_Power,0.84875,power_capex_hypothesis,3518,3518.TW,柏騰,其他電子業,0.7857032780176996,0.041562592345139704,0.08238992069718448,0.18463765215748584,0.8203789751079649,HYPOTHESIS_ONLY,True
Memory,0.85375,memory_cycle,7828,7828.TWO,創新服務,半導體業,0.7745322877635282,0.07607903186412068,0.04005847953216368,0.08744410481928294,0.8181020294935877,HYPOTHESIS_ONLY,True
Shipping,0.90125,freight_cycle,2603,2603.TW,長榮,航運業,0.71383759058813,0.07031562736894692,-0.024243409924796455,0.294035856053911,0.8169144157646586,HYPOTHESIS_ONLY,True
Nuclear_Power,0.84875,power_capex_hypothesis,6122,6122.TWO,擎邦,電機機械,0.7744978773220377,0.03775349933801819,0.03188830083336874,0.4582020088103458,0.815336544794917,HYPOTHESIS_ONLY,True
Nuclear_Power,0.84875,power_capex_hypothesis,4526,4526.TW,東台,電機機械,0.7740878333287831,0.01587144624042547,0.03899379086915439,0.2294148042047034,0.8151520249979525,HYPOTHESIS_ONLY,True
Nuclear_Power,0.84875,power_capex_hypothesis,4576,4576.TW,大銀微系統,電機機械,0.7649714358425291,0.0391671803699416,0.07891607203533813,0.08957139780750616,0.8110496461291381,HYPOTHESIS_ONLY,True
Genomics,0.87625,biotech_risk_appetite,4119,4119.TW,旭富,生技醫療業,0.7308869788538632,0.0346333660083602,0.00944761679885514,0.38542002724008617,0.8108366404842384,HYPOTHESIS_ONLY,True
Nuclear_Power,0.84875,power_capex_hypothesis,3580,3580.TWO,友威科,其他電子業,0.7597095668650568,0.09157988544312157,0.03443486174379701,0.21278483484780764,0.8086818050892756,HYPOTHESIS_ONLY,True
EV,0.73875,ev_cycle,6538,6538.TWO,倉和,電子零組件業,0.891287516158518,1.016389578345266,0.23275862068965514,3.4536119129762533,0.8073918822713331,HYPOTHESIS_ONLY,True
Nuclear_Power,0.84875,power_capex_hypothesis,6658,6658.TW,聯策,其他電子業,0.7459139571479265,0.11082275391434426,0.028219395866454777,0.1750617637262404,0.8024737807165669,HYPOTHESIS_ONLY,True
Auto,0.7287499999999999,auto_cycle,6538,6538.TWO,倉和,電子零組件業,0.891287516158518,1.016389578345266,0.23275862068965514,3.4536119129762533,0.801891882271333,HYPOTHESIS_ONLY,True
Biotech,0.81125,biotech_risk_appetite,6620,6620.TWO,漢達,生技醫療業,0.7833327309104472,0.21961341021631275,0.20414201183431957,0.4047775642947381,0.7986872289097013,HYPOTHESIS_ONLY,True
Nuclear_Power,0.84875,power_capex_hypothesis,4510,4510.TWO,高鋒,電機機械,0.7352651782837504,0.1332096233588922,-0.007102144944941602,0.4996207880381895,0.7976818302276877,HYPOTHESIS_ONLY,True
Energy,0.8362499999999999,energy_cycle,6505,6505.TW,台塑化,油電燃氣業,0.7288676168586735,0.04742403961263442,0.06883749563972541,0.13869806914918792,0.7879279275864031,HYPOTHESIS_ONLY,True
AI_Networking,0.69125,networking_supply_chain,6538,6538.TWO,倉和,電子零組件業,0.891287516158518,1.016389578345266,0.23275862068965514,3.4536119129762533,0.7812668822713331,HYPOTHESIS_ONLY,True
EV,0.73875,ev_cycle,2201,2201.TW,裕隆,汽車工業,0.8317689784259513,0.1111022112608282,0.054150913137030465,1.0001931373959578,0.7806085402916781,HYPOTHESIS_ONLY,True
EV,0.73875,ev_cycle,2421,2421.TW,建準,電子零組件業,0.8219381650727027,0.12234155285306159,0.04495564235322613,0.34076731940452676,0.7761846742827163,HYPOTHESIS_ONLY,True
AI_Networking,0.69125,networking_supply_chain,7711,7711.TW,永擎,電腦及週邊設備業,0.8778406152728396,0.63275739443722,0.1264079397672826,1.4025802230267002,0.7752157768727779,HYPOTHESIS_ONLY,True
Auto,0.7287499999999999,auto_cycle,2201,2201.TW,裕隆,汽車工業,0.8317689784259513,0.1111022112608282,0.054150913137030465,1.0001931373959578,0.7751085402916781,HYPOTHESIS_ONLY,True
Biotech,0.81125,biotech_risk_appetite,4119,4119.TW,旭富,生技醫療業,0.7308869788538632,0.0346333660083602,0.00944761679885514,0.38542002724008617,0.7750866404842385,HYPOTHESIS_ONLY,True
AI_Networking,0.69125,networking_supply_chain,2455,2455.TW,全新,通信網路業,0.877330416102039,0.39797351165333716,0.10395249911378951,0.9401504588141542,0.7749861872459176,HYPOTHESIS_ONLY,True
